application,original_num_instructions,original_simple_arith,original_complex_arith,original_branch,original_memory,min_area_variant,min_area_num_instructions,min_area_simple_arith,min_area_complex_arith,min_area_branch,min_area_memory,min_area_value,min_area_latency,min_instr_variant,min_instr_count,min_instr_area,min_instr_latency
basicmath_small_O3,26,12,4,8,2,0_baseline,16,9,0,5,2,89059.1648,111.8818922840691,0_baseline,16,89059.1648,111.8818922840691
bitcnts_O3,26,13,2,8,3,10_uarchaware,19,10,0,6,3,86928.3712,1.2849614934114202,0_baseline,17,89295.6416,2.07478593990755
combined,32,15,3,8,6,1_baseline,20,9,0,5,6,89679.76,0.913635964574509,0_baseline,20,90640.6816,0.8939482330827068
dijkstra_small_O3,23,11,2,8,2,0_baseline,16,9,0,5,2,88873.9872,5.056576985294118,0_baseline,16,88873.9872,5.056576985294118
libedn,23,11,1,5,6,0_baseline,20,10,0,4,6,89430.7712,7.480777156789197,0_baseline,20,89430.7712,7.480777156789197
libhuffbench,27,15,0,8,4,24_uarchaware,28,16,0,8,4,86843.2896,0.08111527429186088,0_baseline,17,89025.3824,0.11348256079027355
libnsichneu,21,11,0,8,2,21_uarchaware,17,8,0,7,2,86800.7488,0.07108626198083066,0_baseline,14,88845.2096,0.09038189035916824
libslre,29,18,0,8,3,24_uarchaware,29,18,0,8,3,87078.5152,0.08731369026230687,0_baseline,16,89739.8176,0.12417894541403639
libstatemate,24,11,0,8,5,24_uarchaware,26,14,0,7,5,87531.4496,0.05448522684664417,0_baseline,17,89638.4704,0.05572874538745388
libud,24,11,2,8,3,0_baseline,16,8,0,5,3,89208.0576,2.06574004416636,0_baseline,16,89208.0576,2.06574004416636
libwikisort,30,14,4,8,4,0_baseline,18,9,0,5,4,89311.9072,0.2691114675516224,0_baseline,18,89311.9072,0.2691114675516224
matmult-int,25,12,2,8,3,1_baseline,17,9,0,5,3,89276.8736,4.934069654146523,0_baseline,17,89619.7024,4.846831284504969
md5,28,16,0,8,4,15_uarchaware,24,13,0,7,4,89159.2608,0.06536269670958512,0_baseline,16,89166.768,0.11341742983751846
mont64,25,14,2,7,2,0_baseline,16,9,0,5,2,89159.2608,1.766961487236404,0_baseline,16,89159.2608,1.766961487236404
patricia_O3,29,14,3,8,4,0_baseline,18,9,0,5,4,89405.7472,1.0093511954459202,0_baseline,18,89405.7472,1.0093511954459202
picojpeg_test,34,17,1,8,8,0_baseline,22,9,0,5,8,90023.84,1.708310167029775,0_baseline,22,90023.84,1.708310167029775
primecount,21,10,1,8,2,0_baseline,14,7,0,5,2,88840.2048,1.8088125774699235,0_baseline,14,88840.2048,1.8088125774699235
qsort_large_O3,24,12,2,8,2,1_baseline,16,9,0,5,2,88873.9872,18.133774595588235,0_baseline,16,89140.4928,14.03427573313783
qsort_small_O3,25,13,0,8,4,15_uarchaware,22,11,0,7,4,86786.9856,1.0586662753468516,0_baseline,17,89388.2304,1.1951630450849964
rijndael_Oz,30,15,3,8,4,3_uarchaware,23,12,1,6,4,107783.3728,30.129376754385966,0_baseline,22,110606.08,29.41045299657534
sha_O3,25,13,0,8,4,24_uarchaware,26,14,0,8,4,86965.9072,0.4649240241305891,0_baseline,16,88881.4944,1.1524757699443413
tarfind,27,13,2,8,4,1_baseline,18,9,0,5,4,89398.24,4.972141499628805,0_baseline,18,89424.5152,4.919482482556004
