application_name,gp_area,gp_freq,gp_latency,gp_power,original_area,original_freq,original_latency,original_power,min_area_variant,min_area_value,area_reduction_pct,min_area_freq,freq_improvement_pct,min_area_latency,latency_reduction_pct,min_area_power,power_reduction_pct
basicmath_small_O3,126176.0128,22,0.4544552273,3.12,126625.1936,20.72,0.4825296815,3.12,0_uarchaware,89059.1648,29.667104730096934,26.05,25.723938223938237,111.8818923,-23086.530609309266,2.86,8.33333333333334
bitcnts_O3,126176.0128,22,1.593148045,3.12,111679.6096,23.03,1.521895658,2.95,10_uarchaware,86928.3712,22.16271930807323,27.32,18.627876682587925,1.284961493,15.568358037854399,2.83,4.067796610169495
combined,126176.0128,22,0.09891695455,3.12,118561.2096,22.93,0.09490505887,2.95,1_uarchaware,89679.76,24.359948500390473,25.97,13.257740950719576,0.9136359646,-862.6841555954243,2.89,2.0338983050847474
dijkstra_small_O3,126176.0128,22,1.114591364,3.12,117569.008,24.64,0.9951708604,2.94,0_uarchaware,88873.9872,24.406960038312135,27.2,10.389610389610384,5.056576985,-408.11143957406017,2.86,2.721088435374152
libedn,126176.0128,22,0.1557064545,3.12,109800.3072,23.15,0.1479715767,2.95,0_uarchaware,89430.7712,18.55143807830803,26.66,15.161987041036726,7.480777157,-4955.5500751111485,2.88,2.3728813559322126
libhuffbench,126176.0128,22,0.1028320455,3.12,89366.96,27.07,0.08357240488,2.84,24_uarchaware,86843.2896,2.823941197059856,27.89,3.0291835980790554,0.08111527429,2.9401219140793606,2.83,0.3521126760563305
libnsichneu,126176.0128,22,0.0910225,3.12,89030.3872,27.68,0.07234447254,2.86,21_uarchaware,86800.7488,2.50435662488054,28.17,1.7702312138728395,0.07108626198,1.7391937708915122,2.83,1.0489510489510423
libslre,126176.0128,22,0.1104518182,3.12,89335.68,27.61,0.08800941688,2.87,24_uarchaware,87078.5152,2.5266106442577017,27.83,0.7968127490039799,0.08731369026,0.7905138389322817,2.85,0.6968641114982584
libstatemate,126176.0128,22,0.06605095455,3.12,89716.0448,26.71,0.0544036316,2.86,24_uarchaware,87531.4496,2.4350105991297513,26.67,-0.1497566454511387,0.05448522685,-0.14998125603070342,2.84,0.6993006993007
libud,126176.0128,22,0.03715731818,3.12,122885.3568,20.64,0.0396056686,3.12,0_uarchaware,89208.0576,27.405461543160847,27.17,31.637596899224814,2.065740044,-5115.76864378449,2.86,8.33333333333334
libwikisort,126176.0128,22,0.033386,3.12,125985.8304,21.81,0.03367684548,3.13,0_uarchaware,89311.9072,29.10956183212172,27.12,24.346629986244853,0.2691114676,-699.0993923698104,2.89,7.667731629392964
matmult-int,126176.0128,22,0.1362726364,3.12,118095.7632,23.85,0.1257022222,2.94,1_uarchaware,89276.8736,24.402983493314682,26.89,12.746331236897271,4.934069654,-3825.2047956237325,2.85,3.0612244897959133
md5,126176.0128,22,0.08245536364,3.12,89336.9312,26.38,0.06876489765,2.86,15_uarchaware,89159.2608,0.19887676643184568,27.96,5.989385898407892,0.06536269671,4.947583805499931,2.88,-0.6993006993007
mont64,126176.0128,22,0.2042778182,3.12,110885.0976,22.39,0.200719607,2.93,0_uarchaware,89159.2608,19.59310788395788,27.03,20.72353729343457,1.766961487,-780.3133452727417,2.88,1.7064846416382344
patricia_O3,126176.0128,22,0.2279401818,3.12,123359.5616,20.9,0.2399370335,3.12,0_uarchaware,89405.7472,27.524266428651124,26.35,26.076555023923458,1.009351195,-320.67336595623954,2.86,8.33333333333334
picojpeg_test,126176.0128,22,0.1766361818,3.12,111242.9408,24.09,0.1613115816,2.96,0_uarchaware,90023.84,19.074559380940062,27.54,14.321295143212948,1.708310167,-959.0127193942285,2.86,3.378378378378381
primecount,126176.0128,22,0.1953371364,3.12,111550.736,23.65,0.1817089641,2.93,0_uarchaware,88840.2048,20.358925466883516,27.43,15.983086680761105,1.808812577,-895.4448785501606,2.88,1.7064846416382344
qsort_large_O3,126176.0128,22,0.7765520455,3.12,117756.688,23.16,0.7376573834,2.94,1_uarchaware,88873.9872,24.52743983424533,27.2,17.443868739205524,18.1337746,-2358.2922923401193,2.86,2.721088435374152
qsort_small_O3,126176.0128,22,1.352686545,3.12,89361.9552,27.76,1.072013833,2.86,15_uarchaware,86786.9856,2.8815054395765918,28.11,1.2608069164265052,1.058666275,1.245091955823669,2.86,0.0
rijndael_Oz,126176.0128,22,31.21829527,3.12,117843.0208,20.84,32.9559739,3.11,3_uarchaware,107783.3728,8.536481780344857,22.8,9.404990403071022,30.12937675,8.576888544022054,2.93,5.787781350482306
sha_O3,126176.0128,22,0.5955254091,3.12,89365.7088,27.38,0.4785083638,2.86,24_uarchaware,86965.9072,2.685371863799274,28.18,2.9218407596786,0.4649240241,2.8388928444472894,2.84,0.6993006993007
tarfind,126176.0128,22,0.04110618182,3.12,111237.936,21.93,0.0412373917,2.95,1_uarchaware,89398.24,19.63331646139137,26.94,22.845417236662115,4.9721415,-11957.361765681217,2.86,3.0508474576271287
