application_name,original_area,original_freq,original_latency,original_cycles,minA_1.0x_variant,minA_1.0x_area_norm,minA_1.0x_cycle_norm,minA_1.0x_power_norm,minA_1.0x_energy_norm,minA_1.0x_m1_dynamic,minA_1.0x_m1_static,minA_1.0x_m2_dynamic,minA_1.0x_m2_static,minE_1.0x_variant,minE_1.0x_area_norm,minE_1.0x_cycle_norm,minE_1.0x_power_norm,minE_1.0x_energy_norm,minE_1.0x_m1_dynamic,minE_1.0x_m1_static,minE_1.0x_m2_dynamic,minE_1.0x_m2_static,minA_1.2x_variant,minA_1.2x_area_norm,minA_1.2x_cycle_norm,minA_1.2x_power_norm,minA_1.2x_energy_norm,minA_1.2x_m1_dynamic,minA_1.2x_m1_static,minA_1.2x_m2_dynamic,minA_1.2x_m2_static,minE_1.2x_variant,minE_1.2x_area_norm,minE_1.2x_cycle_norm,minE_1.2x_power_norm,minE_1.2x_energy_norm,minE_1.2x_m1_dynamic,minE_1.2x_m1_static,minE_1.2x_m2_dynamic,minE_1.2x_m2_static,minA_1.5x_variant,minA_1.5x_area_norm,minA_1.5x_cycle_norm,minA_1.5x_power_norm,minA_1.5x_energy_norm,minA_1.5x_m1_dynamic,minA_1.5x_m1_static,minA_1.5x_m2_dynamic,minA_1.5x_m2_static,minE_1.5x_variant,minE_1.5x_area_norm,minE_1.5x_cycle_norm,minE_1.5x_power_norm,minE_1.5x_energy_norm,minE_1.5x_m1_dynamic,minE_1.5x_m1_static,minE_1.5x_m2_dynamic,minE_1.5x_m2_static,minA_2.0x_variant,minA_2.0x_area_norm,minA_2.0x_cycle_norm,minA_2.0x_power_norm,minA_2.0x_energy_norm,minA_2.0x_m1_dynamic,minA_2.0x_m1_static,minA_2.0x_m2_dynamic,minA_2.0x_m2_static,minE_2.0x_variant,minE_2.0x_area_norm,minE_2.0x_cycle_norm,minE_2.0x_power_norm,minE_2.0x_energy_norm,minE_2.0x_m1_dynamic,minE_2.0x_m1_static,minE_2.0x_m2_dynamic,minE_2.0x_m2_static,minA_unconstrained_variant,minA_unconstrained_area_norm,minA_unconstrained_cycle_norm,minA_unconstrained_power_norm,minA_unconstrained_energy_norm,minA_unconstrained_m1_dynamic,minA_unconstrained_m1_static,minA_unconstrained_m2_dynamic,minA_unconstrained_m2_static,minE_unconstrained_variant,minE_unconstrained_area_norm,minE_unconstrained_cycle_norm,minE_unconstrained_power_norm,minE_unconstrained_energy_norm,minE_unconstrained_m1_dynamic,minE_unconstrained_m1_static,minE_unconstrained_m2_dynamic,minE_unconstrained_m2_static
basicmath_small_O3,126625.1936,20.72,0.48252968146718145,9998014.999999998,24_baseline,0.9940614408663775,1.0,0.996040960577585,0.996040960577585,0.9860805509718091,0.009960409605775858,0.00996040960577585,0.9860805509718091,24_baseline,0.9940614408663775,1.0,0.996040960577585,0.996040960577585,0.9860805509718091,0.009960409605775858,0.00996040960577585,0.9860805509718091,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133,0_baseline,0.7033289526990306,291.5101941735435,0.8022193017993537,233.8551044372941,0.7941971087813602,0.008022193017993545,0.008022193017993538,0.7941971087813602,10_uarchaware,0.9704751835419898,1.000000400079416,0.9803167890279932,0.9803171812325617,0.9705136211377133,0.009803167890279942,0.009803167890279933,0.9705136211377133
bitcnts_O3,111679.6096,23.03,1.521895657837603,35049257.0,original,1.0,1.0,1.0,1.0,0.99,0.01,0.01,0.99,original,1.0,1.0,1.0,1.0,0.99,0.01,0.01,0.99,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167,10_uarchaware,0.7783728069192677,1.0015946415069512,0.8522485379461785,0.853607568839026,0.8437260525667167,0.008522485379461793,0.008522485379461785,0.8437260525667167
combined,118561.2096,22.93,0.09490505887483645,2176173.0,24_uarchaware,0.9866290972793853,1.0,0.9910860648529235,0.9910860648529235,0.9811752042043943,0.009910860648529243,0.009910860648529236,0.9811752042043943,24_uarchaware,0.9866290972793853,1.0,0.9910860648529235,0.9910860648529235,0.9811752042043943,0.009910860648529243,0.009910860648529236,0.9811752042043943,18_uarchaware,0.9736275565123789,1.0000032166560286,0.9824183710082526,0.9824215311102283,0.97259418729817,0.009824183710082535,0.009824183710082526,0.97259418729817,18_uarchaware,0.9736275565123789,1.0000032166560286,0.9824183710082526,0.9824215311102283,0.97259418729817,0.009824183710082535,0.009824183710082526,0.97259418729817,10_uarchaware,0.9150361974714536,1.264320897281604,0.9433574649809691,1.192706556582038,0.9339238903311594,0.0094335746498097,0.00943357464980969,0.9339238903311594,18_uarchaware,0.9736275565123789,1.0000032166560286,0.9824183710082526,0.9824215311102283,0.97259418729817,0.009824183710082535,0.009824183710082526,0.97259418729817,10_uarchaware,0.9150361974714536,1.264320897281604,0.9433574649809691,1.192706556582038,0.9339238903311594,0.0094335746498097,0.00943357464980969,0.9339238903311594,18_uarchaware,0.9736275565123789,1.0000032166560286,0.9824183710082526,0.9824215311102283,0.97259418729817,0.009824183710082535,0.009824183710082526,0.97259418729817,1_baseline,0.7564005149960953,10.903143270319042,0.8376003433307302,9.13247654660337,0.8292243398974228,0.00837600343330731,0.008376003433307301,0.8292243398974228,18_uarchaware,0.9736275565123789,1.0000032166560286,0.9824183710082526,0.9824215311102283,0.97259418729817,0.009824183710082535,0.009824183710082526,0.97259418729817
dijkstra_small_O3,117569.008,24.64,0.9951708603896103,24521010.0,24_uarchaware,0.9742244452721758,1.0,0.9828162968481172,0.9828162968481172,0.972988133879636,0.00982816296848118,0.009828162968481172,0.972988133879636,24_uarchaware,0.9742244452721758,1.0,0.9828162968481172,0.9828162968481172,0.972988133879636,0.00982816296848118,0.009828162968481172,0.972988133879636,11_uarchaware,0.9131485127441068,1.0549950838077224,0.9420990084960712,0.9939098224234848,0.9326780184111105,0.00942099008496072,0.009420990084960713,0.9326780184111105,24_uarchaware,0.9742244452721758,1.0,0.9828162968481172,0.9828162968481172,0.972988133879636,0.00982816296848118,0.009828162968481172,0.972988133879636,11_uarchaware,0.9131485127441068,1.0549950838077224,0.9420990084960712,0.9939098224234848,0.9326780184111105,0.00942099008496072,0.009420990084960713,0.9326780184111105,24_uarchaware,0.9742244452721758,1.0,0.9828162968481172,0.9828162968481172,0.972988133879636,0.00982816296848118,0.009828162968481172,0.972988133879636,11_uarchaware,0.9131485127441068,1.0549950838077224,0.9420990084960712,0.9939098224234848,0.9326780184111105,0.00942099008496072,0.009420990084960713,0.9326780184111105,24_uarchaware,0.9742244452721758,1.0,0.9828162968481172,0.9828162968481172,0.972988133879636,0.00982816296848118,0.009828162968481172,0.972988133879636,0_baseline,0.7559303996168787,5.609022385293265,0.8372869330779191,4.696361150547593,0.8289140637471399,0.008372869330779199,0.008372869330779192,0.8289140637471399,24_uarchaware,0.9742244452721758,1.0,0.9828162968481172,0.9828162968481172,0.972988133879636,0.00982816296848118,0.009828162968481172,0.972988133879636
libedn,109800.3072,23.15,0.1479715766738661,3425542.0,24_uarchaware,0.988205934636948,0.9999999999999999,0.9921372897579653,0.9921372897579652,0.9822159168603857,0.009921372897579663,0.009921372897579654,0.9822159168603857,24_uarchaware,0.988205934636948,0.9999999999999999,0.9921372897579653,0.9921372897579652,0.9822159168603857,0.009921372897579663,0.009921372897579654,0.9822159168603857,12_uarchaware,0.987590592096267,1.0012336733865763,0.9917270613975113,0.992950528679905,0.9818097907835363,0.009917270613975121,0.009917270613975113,0.9818097907835363,24_uarchaware,0.988205934636948,0.9999999999999999,0.9921372897579653,0.9921372897579652,0.9822159168603857,0.009921372897579663,0.009921372897579654,0.9822159168603857,12_uarchaware,0.987590592096267,1.0012336733865763,0.9917270613975113,0.992950528679905,0.9818097907835363,0.009917270613975121,0.009917270613975113,0.9818097907835363,24_uarchaware,0.988205934636948,0.9999999999999999,0.9921372897579653,0.9921372897579652,0.9822159168603857,0.009921372897579663,0.009921372897579654,0.9822159168603857,12_uarchaware,0.987590592096267,1.0012336733865763,0.9917270613975113,0.992950528679905,0.9818097907835363,0.009917270613975121,0.009917270613975113,0.9818097907835363,24_uarchaware,0.988205934636948,0.9999999999999999,0.9921372897579653,0.9921372897579652,0.9822159168603857,0.009921372897579663,0.009921372897579654,0.9822159168603857,0_baseline,0.8144856192169198,58.22071923216822,0.8763237461446132,51.02019878076738,0.867560508683167,0.00876323746144614,0.008763237461446131,0.867560508683167,24_uarchaware,0.988205934636948,0.9999999999999999,0.9921372897579653,0.9921372897579652,0.9822159168603857,0.009921372897579663,0.009921372897579654,0.9822159168603857
libhuffbench,89366.96,27.07,0.08357240487624677,2262305.0,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405,24_uarchaware,0.9717605880294015,1.0,0.9811737253529343,0.9811737253529343,0.971361988099405,0.009811737253529353,0.009811737253529344,0.971361988099405
libnsichneu,89030.3872,27.68,0.0723444725433526,2002495.0000000002,24_uarchaware,0.9751391309236045,0.9999999999999998,0.983426087282403,0.9834260872824028,0.973591826409579,0.009834260872824038,0.009834260872824031,0.973591826409579,24_uarchaware,0.9751391309236045,0.9999999999999998,0.983426087282403,0.9834260872824028,0.973591826409579,0.009834260872824038,0.009834260872824031,0.973591826409579,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884,21_uarchaware,0.9749564337511946,1.0000024968851358,0.983304289167463,0.9833067443653266,0.9734712462757884,0.009833042891674639,0.00983304289167463,0.9734712462757884
libslre,89335.68,27.61,0.08800941687794278,2429940.0,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992,24_uarchaware,0.974733893557423,1.0,0.983155929038282,0.983155929038282,0.9733243697478992,0.009831559290382829,0.00983155929038282,0.9733243697478992
libstatemate,89716.0448,26.71,0.05440363159865219,1453121.0,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437,24_uarchaware,0.9756498940087025,1.0,0.9837665960058016,0.9837665960058016,0.9739289300457437,0.009837665960058025,0.009837665960058016,0.9739289300457437
libud,122885.3568,20.64,0.039605668604651166,817461.0000000001,original,1.0,1.0,1.0,1.0,0.99,0.01,0.01,0.99,original,1.0,1.0,1.0,1.0,0.99,0.01,0.01,0.99,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718,0_baseline,0.7259453845683915,68.65912502247812,0.8172969230455944,56.11489161987415,0.8091239538151385,0.008172969230455952,0.008172969230455945,0.8091239538151385,12_baseline,0.9985439957643514,1.0000134562994443,0.9990293305095675,0.9990427737473925,0.9890390372044718,0.009990293305095684,0.009990293305095675,0.9890390372044718
